Id;Name;Category1;Category2;Category3;Alkohol;Arakidinsyra;Arakidonsyra;Aska;Avfall;DHA;Disackarider;DPA;EnergiKJ;EnergiKcal;EPA;Fett;Fettsyra;Fibrer;Folat;Fosfor;FullkornTotalt;Jod;Jarn;Kalcium;Kalium;Karoten;Kolesterol;Kolhydrater;Koppar;Laurinsyra;Linolsyra;Linolensyra;Magnesium;Monosackarider;Myristinsyra;Natrium;Niacin;Niacinekvivalenter;Oljesyra;Palmitinsyra;Palmitoljesyra;Protein;Retinol;Riboflavin;Sackaros;Salt;Selen;Sockerarter;Stearinsyra;Starkelse;SummaEnkelomattadeFettsyror;SummaFleromattadeFettsyror;SummaMattadeFettsyror;Tiamin;Vatten;VitaminA;VitaminB6;VitaminB12;VitaminC;VitaminD;VitaminE;VitaminK;Zink
1305;Abborre filé panerad stekt;4;NULL;NULL;0;0,03;0,04;2,31;NULL;0,12;0,14;0,01;738;176;0,03;7,76;0,01;0,3;17;233,8;1;70,7;0,5;23,6;336,1;12;101,55;6,03;NULL;0;1,35;0,5;29,7;0,1;0,03;545;5,15;8,96;3,88;0,64;0,07;20,36;51,6;0,13;0,02;1,36;43,29;0,2;0,22;NULL;4,05;2,07;0,97;0,14;63,21;52,7;0,37;1,91;0,1;17,35;2,74;NULL;0,69
1304;Abborre kokt;4;NULL;NULL;0;0;0,04;2,06;76,3;0,15;0;0,01;457;109;0,04;0,78;0;0;12,5;279,1;0;49,8;0,31;21,4;371,3;0;98,96;0;0,06;0;0,01;0,01;34,2;0;0,01;355,9;6,68;11,32;0,06;0,1;0,04;25,2;19,6;0,1;0;0,89;56,09;0;0,03;NULL;0,11;0,29;0,13;0,14;71,98;19,6;0,41;2,88;0;21,78;0,94;NULL;0,66
1253;Abborre rå;4;NULL;NULL;0;0;0,03;1;60;0,12;0;0,01;359;86;0,03;0,61;0;0;11,6;219;0;8;0,24;15,9;389;0;77,8;0;0,05;0;0,01;0,01;26,7;0;0,01;32,8;5,25;8,9;0,05;0,08;0,03;19,81;15,4;0,11;0;0,08;44,1;0;0,02;0;0,09;0,23;0,1;0,15;78,59;15,4;0,47;3,49;0;21,4;0,74;0,4;0,52
128;A-fil  fett 3%;14;NULL;NULL;0;0,01;0;0,74;0;0;3,8;0;251;60;0;3;0,31;0;11,2;91;0;NULL;0,04;116;162;14;10,2;4,84;NULL;0,09;0,05;0,02;12;0;0,31;41;0,06;0,86;0,65;0,87;0,03;3,42;25;0,14;0;0,1;1,8;3,8;0,35;NULL;0,7;0,05;1,97;0,04;88;26,2;0,04;0,27;0;0,02;0,07;NULL;0,44
2246;After eight choklad mint;8;NULL;NULL;0;0,05;0;0,58;NULL;0;53,22;0;1713;409;0;4,63;0;0;4,9;76,8;0;0;2,01;18,8;184,3;2;0;88,1;0,44;0;0,11;0,01;50,9;15,68;0;3,2;0,25;0,7;1,46;1,09;0,01;2,56;0;0,03;52,4;0,01;0;68,9;1,67;6,13;1,47;0,11;2,84;0,02;4,1;0,2;0,02;0;0;0;0,23;2,9;0,84
537;Agar torkad;28;NULL;NULL;0;0;0;3,2;0;0;0;0;1313;314;0;0,3;0;0;0;14;0;NULL;9;690;29;0;0;74,3;NULL;0;0;0;33;0;0;4;0;0,38;0;0;0;2,3;0;0;0;0,01;0;0;0;NULL;0;0;0;0;19,9;0;0;0;0;0;0;NULL;0
5758;Aioli;23;NULL;NULL;0;0,41;0,03;0,84;0,4;0,02;0,05;0;3201;765;0;85,14;0;0,12;18,3;46,9;0;32,1;0,39;37,9;33,5;4;73,02;1,35;NULL;0;12,07;4,29;7;0,13;0,05;215,8;0,02;0,39;53,99;6,38;0,55;1,61;51,7;0,05;0,04;0,54;5,23;0,2;1,87;NULL;55,74;16,46;9,01;0,03;10,65;52,1;0,02;0,29;1,8;0,28;19,87;NULL;0,31
417;Ajvar relish grönsakspasta m paprika aubergine;23;NULL;NULL;0;0,01;0;1,74;0;0;2,63;0;294;70;0;3,52;0;3,2;51,7;26,9;0;8;0,9;10,7;228,2;1900;0;6,9;0,11;0;1,59;0,05;11,7;4,99;0,01;493,4;1,2;1,4;0,78;0,21;0,01;1,25;4;0,2;2,63;1,23;0,3;7,6;0,1;0,05;0,8;1,64;0,37;0,03;83,44;211;0,59;0;60,7;0;5,39;6,3;0,21
4615;Alaska pollock;4;NULL;NULL;0;0;0,01;0,9;NULL;0,11;0;0,01;318;76;0,07;0,5;0;0;3,1;151;0;43,5;0,19;24,5;223,5;0;70,6;0;0,03;0;0;0;26,5;0;0;123;0,82;4;0,04;0,06;0,01;17,59;5;0,07;0;0,31;19;0;0,01;0;0,06;0,2;0,08;0,07;82,35;5;0,06;1,74;0;0;0,88;0;0,43
376;Alfalfagroddar;9;NULL;NULL;0;0;0;0,4;0;0;0,4;0;133;32;0;0,7;0;3;36;70;0;2;1;32;79;96;0;0,9;NULL;0;0,24;0,18;27;0,4;0;6;0,5;1,17;0,06;0,06;0;4;0;0,13;0;0,02;1;0,8;0,01;NULL;0,06;0,41;0,07;0,08;91;8;0,03;0;8;0;0,2;NULL;0,9
